Word,Valence,Arousal,Dominance
accede,0.698,0.51,0.537
accelerant,0.643,0.844,0.802
accelerate,0.615,0.902,0.759
accelerated,0.61,0.812,0.682
acceleration,0.704,0.905,0.843
accelerator,0.593,0.83,0.812
accent,0.598,0.357,0.509
accentuate,0.673,0.556,0.667
accept,0.847,0.286,0.565
acceptable,0.812,0.286,0.583
acceptance,0.833,0.287,0.755
acceptances,0.847,0.413,0.648
access,0.714,0.472,0.567
accessible,0.796,0.41,0.645
accession,0.612,0.383,0.636
accessory,0.562,0.292,0.445
accident,0.125,0.908,0.336
accidental,0.319,0.784,0.307
accidentally,0.333,0.741,0.333
acclaim,0.562,0.809,0.718
accolade,0.688,0.591,0.775
accommodate,0.844,0.375,0.566
accommodation,0.817,0.415,0.587
accompaniment,0.74,0.479,0.695
accompany,0.833,0.406,0.585
accompanying,0.787,0.46,0.582
accomplice,0.408,0.58,0.51
accomplish,0.929,0.673,0.816
accomplished,0.87,0.52,0.798
accomplishment,0.917,0.694,0.888
accord,0.898,0.264,0.382
accordance,0.659,0.349,0.6
accordion,0.604,0.49,0.361
account,0.531,0.347,0.472
accountability,0.755,0.537,0.833
accountable,0.709,0.282,0.777
accountant,0.625,0.45,0.639
accounting,0.552,0.39,0.677
accounts,0.592,0.34,0.471
accredited,0.669,0.479,0.768
accretion,0.448,0.519,0.672
accrue,0.52,0.481,0.602
accueil,0.45,0.451,0.47
accumulate,0.573,0.536,0.607
accumulation,0.479,0.527,0.6
accuracy,0.604,0.481,0.802
accurate,0.743,0.36,0.737
accursed,0.135,0.745,0.345
accusation,0.073,0.718,0.564
accusative,0.198,0.755,0.482
accuse,0.133,0.752,0.5
accused,0.13,0.67,0.42
accuser,0.122,0.779,0.615
accusing,0.156,0.745,0.324
accustomed,0.542,0.365,0.441
ace,0.643,0.481,0.546
acetic,0.333,0.42,0.519
acetylene,0.306,0.469,0.509
ache,0.146,0.76,0.312
achieve,0.816,0.545,0.843
achieved,0.896,0.519,0.775
achievement,0.896,0.808,0.759
aching,0.053,0.88,0.348
achy,0.167,0.84,0.373
acid,0.265,0.642,0.566
acidity,0.156,0.663,0.36
acknowledge,0.786,0.37,0.661
acknowledged,0.714,0.443,0.765
acknowledgement,0.819,0.539,0.83
acknowledgment,0.796,0.528,0.777
acme,0.408,0.435,0.375
acne,0.167,0.474,0.308
acorn,0.448,0.198,0.192
acoustic,0.542,0.462,0.536
acoustics,0.611,0.33,0.509
acquaint,0.646,0.491,0.639
acquaintance,0.656,0.29,0.67
acquainted,0.906,0.358,0.632
acquiescence,0.542,0.48,0.554
acquire,0.833,0.468,0.7
acquiring,0.735,0.51,0.817
acquisition,0.698,0.509,0.736
acquisitions,0.773,0.66,0.79
acquit,0.583,0.571,0.611
acquittal,0.76,0.497,0.7
acre,0.583,0.387,0.423
acreage,0.741,0.45,0.528
acres,0.51,0.363,0.5
acrobat,0.708,0.828,0.602
acrylic,0.582,0.279,0.42
act,0.656,0.704,0.735
acting,0.698,0.643,0.5
action,0.76,0.898,0.802
action figure,0.615,0.774,0.611
actionable,0.673,0.702,0.613
activate,0.764,0.65,0.806
activation,0.781,0.8,0.754
active,0.847,0.73,0.731
activist,0.531,0.653,0.877
activity,0.701,0.66,0.807
actor,0.653,0.561,0.629
actress,0.633,0.556,0.596
actual,0.729,0.4,0.716
actuality,0.75,0.464,0.6
actuary,0.51,0.404,0.491
acuity,0.469,0.378,0.741
acumen,0.564,0.66,0.679
acupuncture,0.531,0.324,0.549
acute,0.427,0.652,0.534
acutely,0.417,0.543,0.491
ad,0.521,0.705,0.558
adage,0.517,0.415,0.566
adamant,0.344,0.529,0.575
adapt,0.74,0.355,0.551
adaptable,0.735,0.423,0.641
adaptation,0.663,0.365,0.609
add,0.728,0.49,0.554
added,0.562,0.405,0.509
addendum,0.392,0.37,0.418
adder,0.388,0.461,0.588
addict,0.075,0.696,0.327
addicted,0.156,0.712,0.483
addiction,0.18,0.806,0.42
addictive,0.302,0.683,0.472
addition,0.562,0.373,0.471
additional,0.673,0.462,0.526
additive,0.561,0.633,0.691
address,0.65,0.327,0.567
addressee,0.622,0.382,0.538
addresses,0.51,0.354,0.45
adept,0.594,0.539,0.789
adequacy,0.615,0.435,0.702
adequate,0.854,0.264,0.705
adhere,0.633,0.339,0.554
adherence,0.76,0.307,0.63
adherent,0.561,0.385,0.555
adhering,0.612,0.561,0.537
adhesion,0.521,0.445,0.586
adhesive,0.604,0.35,0.413
adieu,0.25,0.471,0.342
adipose,0.333,0.35,0.391
adjacency,0.365,0.417,0.375
adjacent,0.645,0.276,0.536
adjective,0.57,0.316,0.569
adjoining,0.52,0.4,0.393
adjourn,0.385,0.456,0.475
adjournment,0.438,0.51,0.37
adjudicate,0.559,0.52,0.683
adjudication,0.551,0.462,0.691
adjunct,0.459,0.44,0.426
adjust,0.647,0.327,0.638
adjuster,0.51,0.54,0.76
adjustment,0.59,0.52,0.661
adjuvant,0.51,0.5,0.456
admin,0.688,0.42,0.854
administer,0.635,0.425,0.86
administration,0.625,0.404,0.786
administrative,0.542,0.415,0.579
administrator,0.538,0.48,0.902
admirable,0.929,0.6,0.87
admiral,0.844,0.49,0.847
admiralty,0.594,0.547,0.733
admiration,0.969,0.583,0.726
admire,0.867,0.692,0.704
admirer,0.796,0.72,0.65
admiring,0.867,0.578,0.629
admissibility,0.802,0.58,0.602
admissible,0.78,0.528,0.642
admission,0.802,0.415,0.732
admit,0.538,0.423,0.667
admittance,0.69,0.451,0.598
admitted,0.72,0.49,0.767
admitting,0.62,0.5,0.546
admixture,0.45,0.375,0.438
admonition,0.357,0.606,0.455
ado,0.52,0.423,0.385
adobe,0.5,0.319,0.328
adolescence,0.487,0.694,0.444
adolescent,0.781,0.68,0.509
adopt,0.694,0.612,0.701
adoption,0.625,0.566,0.589
adoptive,0.531,0.469,0.52
adorable,0.969,0.519,0.457
adoration,0.885,0.699,0.708
adore,0.854,0.438,0.657
adoring,0.885,0.62,0.717
adorn,0.91,0.424,0.482
adornment,0.918,0.373,0.377
adrenalin,0.865,0.92,0.786
adrenaline,0.765,0.965,0.825
adrift,0.398,0.486,0.23
adult,0.815,0.491,0.787
adulterated,0.188,0.865,0.37
adulterer,0.229,0.814,0.407
adultery,0.12,0.922,0.51
adulthood,0.541,0.454,0.652
advance,0.673,0.472,0.858
advanced,0.844,0.623,0.797
advancement,0.776,0.65,0.839
advancing,0.929,0.608,0.812
advantage,0.917,0.548,0.859
advantageous,0.837,0.64,0.789
advent,0.665,0.56,0.627
adventure,0.917,0.857,0.71
adventurer,0.781,0.839,0.868
adventures,0.812,0.764,0.749
adventurous,0.969,0.898,0.722
adversary,0.349,0.777,0.457
adverse,0.323,0.61,0.385
adversity,0.276,0.76,0.538
advertise,0.5,0.529,0.58
advertisement,0.6,0.566,0.539
advertising,0.622,0.608,0.632
adverts,0.551,0.5,0.595
advice,0.698,0.408,0.688
advisable,0.867,0.48,0.51
advise,0.76,0.393,0.705
advised,0.823,0.33,0.509
advisement,0.698,0.235,0.655
adviser,0.745,0.362,0.705
advisor,0.646,0.35,0.689
advisory,0.656,0.429,0.633
advocacy,0.5,0.646,0.731
advocate,0.551,0.53,0.818
aegis,0.49,0.439,0.462
aeration,0.55,0.5,0.433
aerial,0.615,0.461,0.463
aerobics,0.708,0.771,0.627
aerodrome,0.541,0.74,0.678
aerodynamic,0.561,0.724,0.728
aerodynamics,0.59,0.663,0.722
aeronautics,0.551,0.633,0.688
aeroplane,0.714,0.642,0.644
aerospace,0.643,0.52,0.779
aesthetic,0.708,0.442,0.526
aesthetics,0.847,0.327,0.549
aetiology,0.48,0.398,0.615
afar,0.396,0.373,0.358
affable,0.704,0.38,0.452
affair,0.52,0.459,0.657
affect,0.458,0.569,0.578
affecting,0.35,0.574,0.394
affection,0.898,0.559,0.696
affectionate,0.949,0.422,0.55
affections,0.76,0.547,0.655
affiche,0.479,0.265,0.402
affidavit,0.469,0.584,0.526
affiliated,0.673,0.519,0.535
affiliation,0.615,0.594,0.5
affinity,0.8,0.5,0.537
affirm,0.745,0.509,0.731
affirmation,0.75,0.5,0.689
affirmative,0.854,0.589,0.816
affirmatively,0.908,0.5,0.811
affix,0.438,0.335,0.411
afflict,0.302,0.555,0.293
afflicted,0.271,0.5,0.293
affliction,0.294,0.635,0.293
affluence,0.663,0.618,0.293
affluent,0.756,0.388,0.293
afford,0.571,0.58,0.293
affordable,0.84,0.398,0.293
affront,0.327,0.74,0.293
affronted,0.385,0.75,0.293
afield,0.594,0.37,0.293
afire,0.367,0.904,0.293
afloat,0.602,0.427,0.293
afore,0.5,0.337,0.293
aforementioned,0.49,0.316,0.293
aforesaid,0.531,0.358,0.293
afraid,0.01,0.775,0.293
afresh,0.643,0.521,0.293
aft,0.48,0.417,0.293
afterlife,0.571,0.567,0.293
aftermath,0.312,0.449,0.293
afternoon,0.533,0.388,0.293
aftershave,0.406,0.384,0.293
aftertaste,0.354,0.362,0.293
afterthought,0.396,0.392,0.293
aga,0.542,0.327,0.293
agape,0.612,0.529,0.293
agate,0.54,0.377,0.293
age,0.561,0.226,0.293
aged,0.135,0.365,0.293
agency,0.46,0.296,0.293
agenda,0.531,0.296,0.293
agent,0.48,0.439,0.293
agglomeration,0.45,0.765,0.293
aggravate,0.224,0.77,0.293
aggravated,0.079,0.76,0.293
aggravates,0.108,0.778,0.293
aggravating,0.257,0.794,0.293
aggravation,0.071,0.784,0.293
aggregate,0.73,0.378,0.293
aggregation,0.583,0.517,0.293
aggresive,0.059,0.971,0.293
aggression,0.094,0.929,0.293
aggressive,0.125,0.949,0.293
aggressively,0.25,0.926,0.293
aggressiveness,0.077,0.913,0.293
aggressor,0.146,0.948,0.293
agh,0.26,0.5,0.293
aghast,0.133,0.865,0.293
aghhh,0.281,0.635,0.293
agile,0.8,0.657,0.293
agility,0.72,0.702,0.293
aging,0.214,0.255,0.293
agitate,0.3,0.796,0.293
agitated,0.444,0.882,0.293
agitation,0.24,0.931,0.293
aglow,0.78,0.51,0.293
agnostic,0.306,0.396,0.293
ago,0.317,0.28,0.293
agonizing,0.083,0.8,0.293
agony,0.083,0.775,0.293
agoraphobia,0.127,0.712,0.293
agree,0.906,0.26,0.293
agreeable,0.906,0.5,0.293
agreed,0.797,0.449,0.293
agreeing,0.854,0.48,0.293
agreement,0.76,0.44,0.293
agressive,0.083,0.918,0.293
agricultural,0.686,0.321,0.293
agriculture,0.64,0.357,0.293
aground,0.333,0.34,0.293
agua,0.598,0.18,0.293
ahead,0.708,0.52,0.293
ahhh,0.562,0.517,0.293
ahhhhhhhh,0.552,0.649,0.293
ahoy,0.5,0.497,0.293
aid,0.796,0.491,0.293
aide,0.724,0.342,0.293
aiding,0.643,0.533,0.293
aids,0.561,0.48,0.293
ail,0.375,0.434,0.293
ailing,0.094,0.518,0.293
ailment,0.146,0.734,0.293
aim,0.481,0.569,0.293
aimless,0.15,0.267,0.293
air,0.708,0.163,0.293
airbag,0.51,0.402,0.293
airborne,0.542,0.519,0.293
aircraft,0.646,0.644,0.293
aircraft carrier,0.49,0.74,0.293
airfield,0.601,0.65,0.293
airhead,0.271,0.481,0.293
airlift,0.573,0.622,0.293
airline,0.65,0.482,0.293
airliner,0.667,0.777,0.293
airlock,0.398,0.52,0.293
airman,0.587,0.716,0.293
airplane,0.719,0.702,0.293
airport,0.729,0.684,0.293
airs,0.583,0.196,0.293
airship,0.542,0.472,0.293
airspace,0.562,0.51,0.293
airspeed,0.583,0.78,0.293
airstrip,0.55,0.69,0.293
airtight,0.479,0.381,0.293
airway,0.638,0.585,0.293
aisle,0.438,0.222,0.293
ait,0.385,0.39,0.293
ajar,0.46,0.413,0.293
aka,0.459,0.358,0.293
akin,0.639,0.343,0.293
alabaster,0.542,0.404,0.293
alarm,0.241,0.882,0.293
alarm clock,0.542,0.727,0.293
alarmed,0.188,0.822,0.293
alarming,0.204,0.89,0.293
alas,0.571,0.31,0.293
alb,0.521,0.38,0.293
albatross,0.5,0.445,0.293
albino,0.5,0.24,0.293
album,0.635,0.349,0.293
alchemy,0.541,0.583,0.293
alcohol,0.323,0.667,0.293
alcoholic,0.153,0.688,0.293
alcoholism,0.061,0.779,0.293
alcove,0.49,0.34,0.293
alderman,0.55,0.459,0.293
ale,0.53,0.45,0.293
alert,0.479,0.82,0.293
alertness,0.375,0.875,0.293
alerts,0.337,0.804,0.293
alfalfa,0.546,0.25,0.293
algebra,0.44,0.34,0.293
algebraic,0.531,0.412,0.293
algorithm,0.448,0.394,0.293
alias,0.541,0.353,0.293
alibi,0.396,0.528,0.293
alien,0.41,0.615,0.293
alienate,0.247,0.5,0.293
alienated,0.41,0.423,0.293
alienation,0.378,0.53,0.293
alight,0.667,0.657,0.293
align,0.656,0.364,0.293
aligned,0.583,0.275,0.293
alignment,0.643,0.412,0.293
alike,0.653,0.173,0.293
alimentation,0.781,0.551,0.293
alimony,0.612,0.477,0.293
aliquot,0.44,0.31,0.293
alive,0.816,0.637,0.293
alkali,0.49,0.35,0.293
alkaloids,0.433,0.562,0.293
allay,0.417,0.406,0.293
allegation,0.578,0.578,0.293
allege,0.418,0.482,0.293
alleged,0.365,0.522,0.293
allegiance,0.917,0.398,0.293
allegorical,0.517,0.558,0.293
allegory,0.615,0.58,0.293
allegro,0.635,0.627,0.293
allergic,0.135,0.549,0.293
allergy,0.296,0.606,0.293
alleviate,0.869,0.27,0.293
alleviation,0.735,0.2,0.293
alley,0.347,0.5,0.293
alleyway,0.357,0.471,0.293
alliance,0.696,0.473,0.293
allied,0.714,0.245,0.293
alligator,0.354,0.704,0.293
allocate,0.673,0.462,0.293
allocation,0.604,0.388,0.293
allot,0.622,0.481,0.293
allotment,0.6,0.39,0.293
allow,0.698,0.429,0.293
allowable,0.698,0.5,0.293
allowance,0.673,0.382,0.293
allowed,0.73,0.36,0.293
alloy,0.583,0.443,0.293
allsmiles,0.786,0.528,0.293
allure,0.804,0.585,0.293
alluring,0.837,0.745,0.293
allusion,0.44,0.308,0.293
alluvial,0.323,0.49,0.293
ally,0.792,0.32,0.293
almanac,0.688,0.19,0.293
almighty,0.938,0.874,0.293
almond,0.698,0.183,0.293
aloft,0.771,0.373,0.293
aloha,0.698,0.44,0.293
alone,0.333,0.167,0.293
alongside,0.458,0.333,0.293
aloof,0.189,0.423,0.293
aloud,0.458,0.713,0.293
alpha,0.708,0.34,0.293
alphabet,0.562,0.204,0.293
alphabetical,0.537,0.296,0.293
alpine,0.594,0.337,0.293
alreadyyyyy,0.592,0.717,0.293
altar,0.724,0.387,0.293
altar boy,0.434,0.206,0.293
alter,0.333,0.694,0.293
alteration,0.167,0.798,0.293
altercation,0.17,0.806,0.293
altered,0.255,0.765,0.293
alternate,0.625,0.363,0.293
alternating,0.48,0.494,0.293
alternative,0.628,0.373,0.293
altimeter,0.615,0.51,0.293
altitude,0.708,0.482,0.293
alto,0.656,0.404,0.293
altogether,0.833,0.324,0.293
aluminum,0.449,0.28,0.293
alumnus,0.633,0.368,0.293
alveolar,0.469,0.481,0.293
alzheimers,0.194,0.518,0.293
amalgam,0.438,0.333,0.293
amalgamation,0.406,0.47,0.293
amaretto,0.543,0.551,0.293
amass,0.552,0.465,0.293
amateur,0.469,0.5,0.293
amaze,0.896,0.843,0.293
amazed,0.796,0.779,0.293
amazedness,0.827,0.872,0.293
amazement,0.75,0.8,0.293
amazing,0.906,0.837,0.293
amazingly,0.918,0.765,0.293
ambassador,0.651,0.529,0.293
amber,0.635,0.308,0.293
ambience,0.735,0.356,0.293
ambient,0.625,0.36,0.293
ambiguity,0.164,0.46,0.293
ambiguous,0.265,0.462,0.293
ambit,0.479,0.38,0.293
ambition,0.51,0.804,0.293
ambitious,0.484,0.821,0.293
ambivalent,0.51,0.404,0.293
ambrosia,0.571,0.452,0.293
ambulance,0.5,0.75,0.293
ambush,0.281,0.83,0.293
ameliorate,0.77,0.548,0.293
amen,0.781,0.182,0.293
amenable,0.448,0.41,0.293
amend,0.688,0.406,0.293
amendment,0.531,0.459,0.293
amends,0.64,0.366,0.293
amenity,0.75,0.327,0.293
amethyst,0.622,0.406,0.293
amiable,0.847,0.29,0.293
amicable,0.875,0.33,0.293
amid,0.51,0.34,0.293
amidst,0.48,0.33,0.293
amino,0.551,0.402,0.293
ammo,0.323,0.765,0.293
ammonia,0.292,0.587,0.293
ammonium,0.354,0.396,0.293
ammunition,0.338,0.635,0.293
amnesia,0.296,0.33,0.293
amnesty,0.551,0.451,0.293
amorous,0.844,0.67,0.293
amorphous,0.327,0.402,0.293
amortization,0.592,0.491,0.293
amount,0.562,0.422,0.293
amour,0.865,0.48,0.293
amp,0.439,0.393,0.293
ampersand,0.48,0.448,0.293
amphetamines,0.133,0.667,0.293
amphibian,0.427,0.357,0.293
amphibious,0.479,0.346,0.293
amphitheater,0.653,0.48,0.293
ample,0.744,0.349,0.293
amplification,0.69,0.677,0.293
amplify,0.677,0.735,0.293
amplitude,0.694,0.439,0.293
amply,0.781,0.431,0.293
amputate,0.092,0.66,0.293
amputation,0.1,0.755,0.293
amuck,0.385,0.602,0.293
amulet,0.781,0.26,0.293
amuse,0.812,0.684,0.293
amused,0.942,0.847,0.293
amusement,0.929,0.837,0.293
amusing,0.96,0.829,0.293
ana,0.541,0.3,0.293
anaconda,0.146,0.83,0.293
anaesthesia,0.35,0.217,0.293
anaesthetic,0.449,0.268,0.293
anagram,0.552,0.327,0.293
anal,0.333,0.798,0.293
analgesic,0.417,0.321,0.293
analogous,0.531,0.27,0.293
analogue,0.57,0.32,0.293
analogy,0.51,0.367,0.293
analysis,0.729,0.448,0.293
analyst,0.604,0.415,0.293
analytic,0.665,0.521,0.293
analytical,0.625,0.324,0.293
analyze,0.667,0.462,0.293
analyzer,0.625,0.556,0.293
anaphylactic,0.378,0.588,0.293
anarchism,0.125,0.804,0.293
anarchist,0.204,0.7,0.293
anarchy,0.146,0.755,0.293
anastomosis,0.375,0.47,0.293
anathema,0.286,0.49,0.293
anatomic,0.562,0.442,0.293
anatomy,0.562,0.39,0.293
ancestor,0.592,0.388,0.293
ancestral,0.64,0.481,0.293
ancestry,0.708,0.519,0.293
anchor,0.52,0.284,0.293
anchorage,0.5,0.325,0.293
ancient,0.42,0.217,0.293
ancillary,0.449,0.442,0.293
androgen,0.255,0.523,0.293
android,0.663,0.436,0.293
anecdote,0.583,0.529,0.293
anemia,0.188,0.327,0.293
anemic,0.167,0.279,0.293
anemone,0.552,0.538,0.293
anesthesia,0.365,0.216,0.293
anesthesiologist,0.419,0.224,0.293
anesthetic,0.35,0.264,0.293
aneurysm,0.115,0.69,0.293
anew,0.771,0.358,0.293
angel,0.906,0.158,0.293
angelic,0.927,0.298,0.293
anger,0.167,0.865,0.293
angered,0.01,0.86,0.293
angermanagement,0.26,0.632,0.293
angina,0.23,0.63,0.293
angiogram,0.347,0.52,0.293
angiography,0.378,0.536,0.293
angle,0.541,0.33,0.293
angling,0.625,0.408,0.293
angora,0.529,0.425,0.293
angriest,0.094,0.892,0.293
angry,0.122,0.83,0.293
angrytweet,0.265,0.644,0.293
angst,0.167,0.888,0.293
anguish,0.153,0.792,0.293
anguished,0.135,0.72,0.293
angular,0.449,0.281,0.293
anhydrous,0.456,0.365,0.293
animal,0.521,0.51,0.293
animate,0.827,0.755,0.293
animated,0.823,0.676,0.293
animation,0.888,0.75,0.293
animosity,0.51,0.724,0.293
animus,0.698,0.676,0.293
ankle,0.5,0.274,0.293
anklet,0.41,0.276,0.293
annals,0.427,0.61,0.293
annex,0.594,0.35,0.293
annexation,0.342,0.5,0.293
annexe,0.584,0.35,0.293
annihilate,0.115,0.918,0.293
annihilated,0.08,0.76,0.293
annihilation,0.041,0.8,0.293
anniversary,0.88,0.77,0.293
annotate,0.592,0.469,0.293
annotation,0.604,0.47,0.293
announce,0.694,0.618,0.293
announcement,0.729,0.491,0.293
announcer,0.602,0.57,0.293
annoy,0.094,0.765,0.293
annoyance,0.167,0.718,0.293
annoyed,0.104,0.783,0.293
annoyin,0.26,0.573,0.293
annoying,0.082,0.853,0.293
annoys,0.146,0.778,0.293
annual,0.552,0.236,0.293
annuity,0.521,0.304,0.293
annul,0.25,0.448,0.293
annular,0.31,0.385,0.293
annulment,0.153,0.375,0.293
annulus,0.458,0.38,0.293
anointed,0.5,0.368,0.293
anointing,0.653,0.35,0.293
anomalous,0.281,0.48,0.293
anomaly,0.188,0.538,0.293
anon,0.479,0.354,0.293
anonymity,0.469,0.255,0.293
anonymous,0.396,0.291,0.293
anorexic,0.16,0.618,0.293
answer,0.537,0.373,0.293
answerable,0.708,0.481,0.293
answering,0.684,0.5,0.293
ant,0.448,0.216,0.293
antagonism,0.224,0.618,0.293
antagonist,0.24,0.615,0.293
antagonistic,0.296,0.604,0.293
antagonize,0.143,0.663,0.293
ante,0.448,0.32,0.293
antecedent,0.427,0.551,0.293
antelope,0.542,0.51,0.293
antenna,0.521,0.327,0.293
anterior,0.51,0.245,0.293
anthem,0.78,0.343,0.293
anthill,0.327,0.578,0.293
anthology,0.338,0.406,0.293
anthrax,0.188,0.73,0.293
anthropological,0.367,0.39,0.293
anthropologist,0.551,0.385,0.293
anthropology,0.49,0.367,0.293
anti,0.365,0.412,0.293
antiaircraft,0.33,0.622,0.293
antibiotic,0.51,0.373,0.293
antibiotics,0.448,0.406,0.293
antichrist,0.082,0.837,0.293
anticipate,0.622,0.469,0.293
anticipation,0.698,0.539,0.293
anticipatory,0.653,0.551,0.293
antics,0.448,0.74,0.293
antidote,0.541,0.49,0.293
antifungal,0.408,0.412,0.293
antigravity,0.43,0.714,0.293
antimony,0.378,0.398,0.293
antipathy,0.198,0.549,0.293
antiquarian,0.5,0.233,0.293
antiquated,0.42,0.392,0.293
antique,0.634,0.29,0.293
antiques,0.54,0.37,0.293
antiquity,0.385,0.333,0.293
antiseptic,0.438,0.37,0.293
antisocial,0.146,0.686,0.293
antithesis,0.396,0.412,0.293
antithetical,0.271,0.509,0.293
antiviral,0.459,0.47,0.293
antler,0.448,0.47,0.293
antsy,0.449,0.558,0.293
anus,0.347,0.644,0.293
anvil,0.38,0.51,0.293
anxiety,0.146,0.865,0.293
anxietyattack,0.15,0.925,0.293
anxious,0.281,0.875,0.293
anxiousness,0.235,0.814,0.293
anytime,0.625,0.461,0.293
aorta,0.448,0.51,0.293
aortic,0.436,0.54,0.293
apace,0.536,0.5,0.293
apache,0.687,0.469,0.293
apartment,0.719,0.393,0.293
apartments,0.704,0.337,0.293
apathetic,0.188,0.292,0.293
apathy,0.184,0.212,0.293
ape,0.548,0.389,0.293
aperture,0.612,0.45,0.293
apex,0.57,0.433,0.293
aphid,0.388,0.473,0.293
aphrodisiac,0.75,0.846,0.293
apiece,0.439,0.259,0.293
aplomb,0.5,0.509,0.293
apocalypse,0.05,0.867,0.293
apocalyptic,0.173,0.88,0.293
apologetic,0.479,0.461,0.293
apologist,0.406,0.429,0.293
apologize,0.551,0.378,0.293
apology,0.571,0.346,0.293
apostasy,0.388,0.52,0.293
apostate,0.342,0.5,0.293
apostle,0.646,0.347,0.293
apostolic,0.592,0.3,0.293
apostrophe,0.469,0.368,0.293
apothecary,0.561,0.328,0.293
appalled,0.194,0.792,0.293
appalling,0.16,0.827,0.293
apparatus,0.375,0.353,0.293
apparel,0.698,0.435,0.293
apparent,0.473,0.383,0.293
apparently,0.531,0.41,0.293
apparition,0.406,0.573,0.293
appeal,0.663,0.598,0.293
appear,0.735,0.506,0.293
appearance,0.669,0.49,0.293
appease,0.633,0.278,0.293
appellant,0.327,0.588,0.293
append,0.573,0.464,0.293
appendage,0.229,0.382,0.293
appendectomy,0.177,0.67,0.293
appendicitis,0.031,0.64,0.293
appendix,0.365,0.387,0.293
appetite,0.704,0.637,0.293
appetizer,0.755,0.56,0.293
appetizing,0.806,0.657,0.293
applaud,0.865,0.824,0.293
applause,0.953,0.857,0.293
apple,0.811,0.3,0.293
apple juice,0.765,0.204,0.293
applejack,0.604,0.431,0.293
applesauce,0.75,0.167,0.293
appliance,0.582,0.453,0.293
appliances,0.594,0.394,0.293
applicability,0.677,0.49,0.293
applicable,0.469,0.43,0.293
applicant,0.612,0.558,0.293
application,0.646,0.445,0.293
apply,0.612,0.321,0.293
appoint,0.565,0.33,0.293
appointment,0.688,0.594,0.293
appointments,0.745,0.677,0.293
apportion,0.677,0.49,0.293
apportionment,0.552,0.481,0.293
appraisal,0.417,0.667,0.293
appraise,0.677,0.49,0.293
appreciable,0.873,0.491,0.293
appreciate,0.885,0.422,0.293
appreciated,0.91,0.434,0.293
appreciates,0.765,0.5,0.293
appreciation,0.917,0.529,0.293
appreciative,0.857,0.38,0.293
apprehend,0.521,0.624,0.293
apprehension,0.385,0.72,0.293
apprehensive,0.406,0.592,0.293
apprentice,0.615,0.413,0.293
apprenticeship,0.812,0.482,0.293
approach,0.612,0.392,0.293
